"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
2/05/2017,71,ABI
2/05/2016,71,ABI
2/05/2015,13,DFW
2/05/2014,21,ABI
2/05/2013,1,CRP
2/04/2016,14,ABI
2/04/2015,118,ABE
2/04/2014,36,ABI
2/03/2017,104,ABI
2/03/2016,92,ABE
2/03/2015,80,ABE
2/02/2017,90,ABE
2/02/2016,71,CIU
2/02/2015,79,ABE
2/01/2016,1,DFW
2/01/2015,52,ABI
2/01/2014,24,ABI
19/12/2016,53,ABE
19/12/2015,6,CRW
19/12/2014,21,ABE
19/12/2013,14,ABI
19/11/2016,15,ABE
19/11/2015,79,ABE
19/11/2014,95,ABE
19/11/2013,9,ABI
19/10/2016,93,ABE
19/10/2015,52,SAF
19/09/2016,82,ABE
19/09/2015,12,OKC
19/09/2014,50,ABE
19/09/2013,3,DEN
19/08/2017,7,ABE
19/08/2016,60,ABI
19/08/2015,54,ABI
19/08/2014,61,ABI
19/08/2013,3,DLH
19/07/2017,123,ABE
19/07/2016,68,ABI
19/07/2014,11,DAB
19/07/2013,1,BGM
19/06/2017,68,ABI
19/06/2016,7,LAR
19/06/2015,55,ABI
19/06/2014,59,ABI
19/05/2017,47,TUS
19/05/2016,81,ABE
19/05/2015,93,ABI
19/05/2014,30,ABI
19/04/2017,78,ABE
19/04/2016,85,ABI
19/04/2015,2,COU
19/04/2014,10,DLH
19/03/2016,2,DAL
19/03/2015,67,FLL
19/03/2014,28,STT
19/02/2016,52,PIH
19/02/2015,96,ABI
19/02/2014,25,ABI
19/01/2017,91,ABE
19/01/2016,86,ABE
18/12/2015,15,CPR
18/12/2014,108,ABE
18/12/2013,14,DSM
18/11/2016,34,ABE
18/11/2015,80,ABI
18/11/2014,106,ABE
18/11/2013,15,ABE
18/10/2016,92,ABE
18/10/2015,1,DEN
18/10/2014,18,CIU
18/10/2013,8,INL
18/09/2016,1,DLG
18/09/2015,49,ABI
18/09/2014,83,ABE
18/09/2013,3,ERI
18/08/2017,68,ABE
18/08/2016,101,ABI
18/08/2015,77,ABI
18/08/2014,47,ABI
18/07/2017,103,ABE
18/07/2016,61,ABI
18/07/2015,7,ABE
18/07/2014,33,ABI
18/07/2013,2,CRP
18/06/2017,2,RNO
18/06/2016,18,BTR
18/06/2015,95,ABE
18/06/2014,48,ABI
18/05/2017,80,ABE
18/05/2016,103,ABE
18/05/2015,85,ABE
18/04/2017,73,ABE
18/04/2016,75,ABI
18/04/2015,27,CPR
18/04/2014,42,ABI
18/04/2013,3,LAN
18/03/2017,3,ABI
18/03/2016,65,ABI
18/03/2015,88,ABI
18/03/2014,34,HOU
18/02/2017,13,MEM
18/02/2016,99,ABE
18/02/2015,85,ABI
18/02/2014,31,BFL
18/01/2017,71,ABE
18/01/2014,5,GSP
17/12/2016,8,DAY
17/12/2015,54,ABE
17/12/2014,106,ABE
17/12/2013,12,LEX
17/11/2016,56,ABE
17/11/2015,77,ABE
17/11/2014,81,ABE
17/10/2016,98,ABE
17/10/2015,18,KTN
17/10/2014,14,SRQ
17/10/2013,6,DTW
17/09/2016,13,DHN
17/09/2015,78,ABE
17/09/2014,95,ABE
17/09/2013,11,DIK
17/08/2017,108,ABE
17/08/2016,122,ABE
17/08/2015,75,ABE
17/07/2017,95,ABI
17/07/2016,1,SMF
17/07/2015,27,SEA
17/07/2014,71,ABI
17/07/2013,3,CRP
17/06/2017,8,DTW
17/06/2016,47,ABI
17/06/2015,84,ABI
17/06/2014,54,ABI
17/05/2017,87,ABE
17/05/2016,92,ABI
17/05/2015,3,NULL
17/05/2014,19,ACK
17/05/2013,1,DEN
17/04/2017,79,ABI
17/04/2016,6,GNV
17/04/2015,63,ABI
17/04/2014,42,EGE
17/03/2017,64,ABE
17/03/2016,81,ABI
17/03/2015,89,CNY
17/03/2014,36,ABE
17/02/2017,52,SEA
17/02/2016,77,ABE
17/02/2015,64,ABE
17/01/2017,73,ABE
17/01/2015,15,SBN
17/01/2014,12,ABI
16/12/2016,29,ABI
16/12/2015,56,JNU
16/12/2014,81,ABE
