user,bookmarks,county,state,grams,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,cal_n,cal_fat_n,carbs_n,col_n,fat_n,fiber_n,protein_n,sodium_n,sugar_n,saturated_fat_n,carbs_w,fat_w,fiber_w,protein_w,sodium_w,sugar_w,saturated_fat_w,diabetis,obese
21,526,Sumner, Tennessee,328.0646388,194.2586672,156.1939163,0.060184411,2.236882129,0.545859316,29.2621673,17.35209125,14.28365019,12.70627376,211.7718502,101.7959927,21.20128666,0.034574496,11.28301836,1.324462931,7.078200091,0.347777902,10.99896483,4.642686014,38.8527866,44.36691127,0.266295492,16.78030213,0.064983252,18.24342379,17.55831153,11.1,28.4
11,344,Sumter, Florida,337.7209302,205.6791009,169.3052326,0.066218023,2.518895349,0.587880814,27.97936047,18.81075581,14.71656977,10.72587209,217.1052517,115.1753711,19.15696174,0.037315531,12.79676955,1.245103745,7.013016412,0.325044965,9.385210167,5.061587361,35.11637583,48.0693431,0.299868494,16.81428107,0.069985811,14.68375285,18.80848027,14.4,28.4
2,159,Sumter, Georgia,388.5220126,286.5863275,180.7358491,0.075591195,3.823899371,0.910874214,31.52201258,20.07610063,20.96855346,8.627672956,165.6514284,75.58552464,15.25343744,0.029091606,8.39691947,1.480499808,7.590093144,0.355580064,4.494004456,3.172265215,37.09403756,42.7576266,0.455226116,20.14833584,0.108437406,10.35090054,15.88976965,12.9,34
9,69,Sumter, South Carolina,333.1014493,239.0710448,155.9710145,0.074927536,2.268115942,0.645362319,27.13478261,17.33043478,17.52173913,12.24927536,195.5642773,86.75600678,21.22141154,0.037783783,9.618627621,0.952885024,6.716966145,0.258897871,13.97057721,3.933265423,36.87733142,42.75860213,0.270013803,20.36406646,0.076828847,19.26871982,16.62884531,14.3,34.5
1,55,Sunflower, Mississippi,325.9272727,233.2344742,153.5454545,0.0674,2.827272727,0.652381818,25.86363636,17.06,17.72727273,4.914545455,156.7779482,72.80130742,14.51121481,0.031361919,8.063333673,1.580558965,7.182392297,0.428805059,4.365423486,3.3582662,35.52900841,43.56436681,0.336580087,20.90662478,0.077664502,9.12004634,16.01892703,14.2,42.3
7,159,Surry, North Carolina,348.6477987,202.9503899,164.1006289,0.066685535,2.455974843,0.51718239,29.66981132,18.22578616,16.7754717,11.0672956,236.4394538,108.4997739,25.30328346,0.032953976,12.04610016,1.607734366,7.61948764,0.319525589,12.15591518,4.382327448,40.54116653,42.87450726,0.292377957,16.5843262,0.061569332,17.62209375,15.58340684,13.1,28.9
9,234,Susquehanna, Pennsylvania,393,244.9907747,187.0128205,0.084730769,2.527777778,0.67741453,32.86282051,20.77435897,18.90769231,10.68760684,195.7234102,94.07723847,17.97275323,0.039886005,10.44385678,1.146289354,7.770031415,0.37438695,7.419146,4.375199619,36.07095482,44.37951983,0.300925926,19.54952535,0.080644587,13.5123295,17.89779761,10.5,32.1
23,573,Sussex, Delaware,324.069808,209.996046,153.7486911,0.062972077,2.330541012,0.618160558,28.07993019,17.08184991,14.89877836,10.36666667,198.4880663,93.75770942,19.90696885,0.034233071,10.40908595,1.218435339,6.886171276,0.309480509,9.524649229,4.327944175,38.20564122,44.54911621,0.277445359,17.24524256,0.073590543,16.36703055,17.7298045,12.4,31.2
23,827,Sussex, New Jersey,355.0435308,218.3620322,170.8077388,0.073978235,2.459371221,0.63019468,30.24365175,18.97509069,16.35356711,10.46819831,203.2100967,98.3456038,19.265122,0.039760258,10.92292569,1.228832589,7.521268843,0.318403316,8.22361555,4.213590953,36.6609597,45.45286459,0.292782288,17.88617572,0.075023176,14.11094442,17.07713786,8.2,25.5
11,480,Sutter, California,316.7708333,179.522486,145.3895833,0.06316875,2.026666667,0.4864125,31.43979167,16.15333333,11.84291667,14.950625,231.2994544,113.4589581,23.71948164,0.042191973,12.59841944,1.286013369,6.558178858,0.317191736,12.33867867,5.268540909,41.71513831,43.74922372,0.241269841,14.53563797,0.05790625,20.53562462,18.1388004,8.8,28
7,96,Suwannee, Florida,377.4270833,231.8908146,182.2291667,0.082791667,2.182291667,0.708635417,31.28333333,20.24583333,17.96145833,10.64166667,205.7445996,97.54138884,19.89759501,0.041692761,10.82284486,0.970879686,7.607803756,0.318912533,8.575153703,4.301875654,36.70896097,45.82779446,0.259796627,17.46324457,0.084361359,13.11579971,18.31073084,14,33.1
7,156,Swain, North Carolina,321.7820513,190.54392,151.5128205,0.055967949,2.329487179,0.666801282,29.36666667,16.83141026,13.68653846,9.546794872,223.2531082,106.6987005,22.50774712,0.032678043,11.842062,1.68284991,7.457181804,0.468073394,8.188001407,4.601904769,39.05502654,44.6179077,0.277319902,16.32706576,0.079381105,12.38472381,16.89187001,16.1,35.3
6,476,Sweetwater, Wyoming,350.7058824,264.6904341,166.2289916,0.072957983,2.816596639,0.729495798,27.69684874,18.46680672,18.61596639,8.957563025,177.9912431,85.36050683,16.36536489,0.033131626,9.477716247,1.210665761,7.299719867,0.319804182,7.533306379,3.692474204,35.80917604,44.35110049,0.335309124,19.83972347,0.086844738,14.16995694,16.11361766,8,29.2
1,6,Talbot, Georgia,217.3333333,93.11033044,57.66666667,0.013666667,1.616666667,0.185833333,35.25,6.416666667,4.983333333,10.58333333,236.5382514,65.19719257,37.1398581,0.016630649,7.245695466,1.932114602,5.952472735,0.278852942,7.560638407,2.611782389,67.72475703,21.49552863,0.192460317,10.77971434,0.022123016,12.30494864,7.805751762,16.9,34.3
